SOURCE_ID;PAYMENT_METHOD_TYPE;TRANSACTION_TYPE;TRANSACTION_AMOUNT;TRANSACTION_DATE;FEE_AMOUNT;SETTLEMENT_DATE;REAL_AMOUNT;TAXES_AMOUNT;BUSINESS_UNIT;SUB_UNIT;MONEY_RELEASE_DATE
162914835135;bank_transfer;SETTLEMENT;191000.00;2026-06-11T21:52:13.000-05:00;-7293.20;2026-06-11T21:56:19.000-05:00;183706.80;0.00;Mercado Pago;Checkouts;2026-06-25T21:56:17.000-05:00
162799754538;bank_transfer;SETTLEMENT;276500.00;2026-06-06T07:36:37.000-05:00;-10131.80;2026-06-06T07:37:35.000-05:00;266368.20;0.00;Mercado Pago;Checkouts;2026-06-20T07:37:33.000-05:00
162777461420;bank_transfer;SETTLEMENT;183000.00;2026-06-05T23:15:43.000-05:00;-7027.60;2026-06-05T23:17:52.000-05:00;175972.40;0.00;Mercado Pago;Checkouts;2026-06-19T23:17:49.000-05:00
